parcode,trial,fix_item,fix_time,rt,block
1,195,1,688,1990.089,MORE
1,195,2,648,1990.089,MORE
1,195,1,657.089,1990.089,MORE
1,196,3,0,1990.089,MORE
1,196,1,698,2490.532,MORE
1,196,2,650,2490.532,MORE
1,196,1,560,2490.532,MORE
1,196,2,584.532,2490.532,MORE
1,197,0,131,2508.017,MORE
1,197,1,1110,2508.017,MORE
1,197,2,784,2508.017,MORE
1,197,1,483.017,2508.017,MORE
1,198,3,46,2508.017,MORE
1,198,1,590,2293.524,MORE
1,198,2,748,2293.524,MORE
1,198,1,642,2293.524,MORE
1,198,2,267.524,2293.524,MORE
1,199,0,44,3004.818,MORE
1,199,1,976,3004.818,MORE
1,199,2,622,3004.818,MORE
1,199,1,1100,3004.818,MORE
1,199,2,262.818,3004.818,MORE
1,200,3,54,3004.818,LESS
1,200,1,576,2773.406,LESS
1,200,2,564,2773.406,LESS
1,200,1,590,2773.406,LESS
1,200,2,676,2773.406,LESS
1,200,1,313.406,2773.406,LESS
1,201,0,13,2122.486,LESS
1,201,1,748,2122.486,LESS
1,201,2,1361.486,2122.486,LESS
1,202,3,0,2122.486,LESS
1,202,1,658,1541.291,LESS
1,202,2,526,1541.291,LESS
1,202,1,357.291,1541.291,LESS
1,203,0,141,1792.184,LESS
1,203,1,592,1792.184,LESS
1,203,2,636,1792.184,LESS
1,203,1,423.184,1792.184,LESS
1,204,3,0,1792.184,LESS
1,204,1,468,1719.123,LESS
1,204,2,574,1719.123,LESS
1,204,1,680.123,1719.123,LESS
1,205,0,258,5485.479,LESS
1,205,1,862,5485.479,LESS
1,205,0,250,5485.479,LESS
1,205,2,562,5485.479,LESS
1,205,1,790,5485.479,LESS
1,205,2,968,5485.479,LESS
1,205,1,824,5485.479,LESS
1,205,2,971.479,5485.479,LESS
1,206,0,0,4941.353,LESS
1,206,1,1258,4941.353,LESS
1,206,2,752,4941.353,LESS
1,206,1,810,4941.353,LESS
1,206,2,876,4941.353,LESS
1,206,1,876,4941.353,LESS
1,206,2,369.353,4941.353,LESS
1,207,3,15,4941.353,LESS
1,207,1,496,1580.206,LESS
1,207,2,722,1580.206,LESS
1,207,1,347.206,1580.206,LESS
1,208,3,0,1580.206,LESS
1,208,1,870,3148.962,LESS
1,208,2,748,3148.962,LESS
1,208,1,794,3148.962,LESS
1,208,2,739.962,3148.962,LESS
1,209,3,0,3148.962,LESS
1,209,1,482,2129.2,LESS
1,209,2,586,2129.2,LESS
1,209,1,730,2129.2,LESS
1,209,2,334.2,2129.2,LESS
1,210,0,53,1528.68,LESS
1,210,1,572,1528.68,LESS
1,210,2,596,1528.68,LESS
1,210,1,307.68,1528.68,LESS
1,211,0,154,1442.214,LESS
1,211,1,656,1442.214,LESS
1,211,2,632.214,1442.214,LESS
1,212,0,55,1628.017,LESS
1,212,1,560,1628.017,LESS
1,212,2,706,1628.017,LESS
1,212,1,307.017,1628.017,LESS
1,213,0,34,2346.231,LESS
1,213,1,588,2346.231,LESS
1,213,2,722,2346.231,LESS
