name,parcode,trial,fix_item,fix_time,rt,block
p1.edf,1,44,3,258,1889,1.0
p1.edf,1,44,1,168,1889,1.0
p1.edf,1,44,1,276,1889,1.0
p1.edf,1,44,1,192,1889,1.0
p1.edf,1,44,1,228,1889,1.0
p1.edf,1,44,2,576,1889,1.0
p1.edf,1,44,2,191,1889,1.0
p1.edf,1,45,3,230,2227,1.0
p1.edf,1,45,0,124,2227,1.0
p1.edf,1,45,1,336,2227,1.0
p1.edf,1,45,1,358,2227,1.0
p1.edf,1,45,2,322,2227,1.0
p1.edf,1,45,2,490,2227,1.0
p1.edf,1,45,2,244,2227,1.0
p1.edf,1,45,2,123,2227,1.0
p1.edf,1,46,3,230,4259,1.0
p1.edf,1,46,1,64,4259,1.0
p1.edf,1,46,1,286,4259,1.0
p1.edf,1,46,1,332,4259,1.0
p1.edf,1,46,2,406,4259,1.0
p1.edf,1,46,2,270,4259,1.0
p1.edf,1,46,2,672,4259,1.0
p1.edf,1,46,2,234,4259,1.0
p1.edf,1,46,2,504,4259,1.0
p1.edf,1,46,1,342,4259,1.0
p1.edf,1,46,1,370,4259,1.0
p1.edf,1,46,1,549,4259,1.0
p1.edf,1,47,3,231,3505,1.0
p1.edf,1,47,1,306,3505,1.0
p1.edf,1,47,1,232,3505,1.0
p1.edf,1,47,1,646,3505,1.0
p1.edf,1,47,1,306,3505,1.0
p1.edf,1,47,1,108,3505,1.0
p1.edf,1,47,2,354,3505,1.0
p1.edf,1,47,2,216,3505,1.0
p1.edf,1,47,2,508,3505,1.0
p1.edf,1,47,1,598,3505,1.0
p1.edf,1,48,3,232,2548,1.0
p1.edf,1,48,1,600,2548,1.0
p1.edf,1,48,1,178,2548,1.0
p1.edf,1,48,2,360,2548,1.0
p1.edf,1,48,2,224,2548,1.0
p1.edf,1,48,2,286,2548,1.0
p1.edf,1,48,2,222,2548,1.0
p1.edf,1,48,1,374,2548,1.0
p1.edf,1,48,1,72,2548,1.0
p1.edf,1,49,3,186,3226,1.0
p1.edf,1,49,1,340,3226,1.0
p1.edf,1,49,1,222,3226,1.0
p1.edf,1,49,1,216,3226,1.0
p1.edf,1,49,1,362,3226,1.0
p1.edf,1,49,2,378,3226,1.0
p1.edf,1,49,2,406,3226,1.0
p1.edf,1,49,1,348,3226,1.0
p1.edf,1,49,1,280,3226,1.0
p1.edf,1,49,2,428,3226,1.0
p1.edf,1,49,2,60,3226,1.0
p1.edf,1,50,3,247,4604,1.0
p1.edf,1,50,1,366,4604,1.0
p1.edf,1,50,1,216,4604,1.0
p1.edf,1,50,2,348,4604,1.0
p1.edf,1,50,2,236,4604,1.0
p1.edf,1,50,2,310,4604,1.0
p1.edf,1,50,2,206,4604,1.0
p1.edf,1,50,1,522,4604,1.0
p1.edf,1,50,1,252,4604,1.0
p1.edf,1,50,1,324,4604,1.0
p1.edf,1,50,2,180,4604,1.0
p1.edf,1,50,2,362,4604,1.0
p1.edf,1,50,2,372,4604,1.0
p1.edf,1,50,1,324,4604,1.0
p1.edf,1,50,1,339,4604,1.0
p1.edf,1,51,3,241,6333,1.0
p1.edf,1,51,1,304,6333,1.0
p1.edf,1,51,1,388,6333,1.0
